time	V(out_pos,out_neg)	I(V2)	I(Vcell12)
0.000000000000000e+00	5.238056e-04	-1.449087e-11	-2.619927e-07
9.999999439624929e-11	5.238056e-04	5.746628e-09	-2.576966e-07
1.999999887924986e-10	5.238056e-04	1.117628e-08	-2.536335e-07
1.599999910339989e-09	5.240440e-04	8.681446e-08	-1.967653e-07
3.199999820679977e-09	5.240440e-04	1.724266e-07	-1.323540e-07
6.399999641359955e-09	5.240440e-04	3.410190e-07	-5.526278e-09
1.279999928271991e-08	5.238056e-04	6.679020e-07	2.403061e-07
2.559999856543982e-08	5.238056e-04	1.282219e-06	7.020295e-07
4.834192560814363e-08	5.238056e-04	2.252987e-06	1.430791e-06
7.268038184230378e-08	5.240440e-04	2.928834e-06	1.935693e-06
8.547231159302086e-08	5.238056e-04	2.509204e-06	1.614995e-06
9.473380582160012e-08	5.238056e-04	1.419557e-06	7.889810e-07
1.053912861530962e-07	5.238056e-04	-3.011754e-07	-5.135516e-07
1.178182780459615e-07	5.238056e-04	-2.356681e-06	-2.068498e-06
1.335508953059510e-07	5.238056e-04	-4.814747e-06	-3.927262e-06
1.616136396363080e-07	5.238056e-04	-8.731238e-06	-6.888773e-06
1.920015312502328e-07	5.240440e-04	-1.211577e-05	-9.454488e-06
2.232149686634796e-07	5.240440e-04	-1.446133e-05	-1.124159e-05
2.577395164018126e-07	5.238056e-04	-1.562809e-05	-1.213712e-05
3.000144520601137e-07	5.240440e-04	-1.594202e-05	-1.234841e-05
3.562529731613233e-07	5.240440e-04	-1.601553e-05	-1.235527e-05
4.369076288399292e-07	5.238056e-04	-1.604835e-05	-1.231647e-05
5.717127453419441e-07	5.240440e-04	-1.605955e-05	-1.223661e-05
7.812623323250672e-07	5.240440e-04	-1.605058e-05	-1.212853e-05
1.020711173224642e-06	5.238056e-04	-1.602927e-05	-1.203584e-05
1.314786260064714e-06	5.238056e-04	-1.599862e-05	-1.195518e-05
1.639220781553989e-06	5.240440e-04	-1.596278e-05	-1.189311e-05
2.056893734753178e-06	5.238056e-04	-1.591613e-05	-1.183610e-05
2.554241273991141e-06	5.238056e-04	-1.586071e-05	-1.178514e-05
3.238855612897498e-06	5.238056e-04	-1.578577e-05	-1.172739e-05
4.145122435038369e-06	5.238056e-04	-1.568887e-05	-1.165896e-05
5.608596392719070e-06	5.238056e-04	-1.553790e-05	-1.155537e-05
7.564239042305404e-06	5.238056e-04	-1.534521e-05	-1.143763e-05
9.746923864855219e-06	5.238056e-04	-1.514492e-05	-1.157564e-05
1.101430423929059e-05	5.238056e-04	-1.504181e-05	-1.224581e-05
1.203958450014371e-05	5.238056e-04	-1.497115e-05	-1.344785e-05
1.317262600728445e-05	5.238056e-04	-1.490493e-05	-1.524017e-05
1.442886261918395e-05	5.238056e-04	-1.484138e-05	-1.737186e-05
1.584292765503462e-05	5.238056e-04	-1.477756e-05	-1.969123e-05
1.735553457607165e-05	5.235672e-04	-1.471502e-05	-2.193230e-05
1.907447221739309e-05	5.235672e-04	-1.464756e-05	-2.405222e-05
2.123543616346150e-05	5.235672e-04	-1.456469e-05	-2.599843e-05
2.398973871230214e-05	5.235672e-04	-1.445700e-05	-2.757038e-05
2.585102482886336e-05	5.235672e-04	-1.437909e-05	-2.771686e-05
2.824936911005768e-05	5.235672e-04	-1.427534e-05	-2.719613e-05
3.014482135799283e-05	5.233288e-04	-1.419276e-05	-2.667210e-05
3.262173815963170e-05	5.233288e-04	-1.408376e-05	-2.600018e-05
3.529293701407690e-05	5.233288e-04	-1.396697e-05	-2.532665e-05
3.999075014737104e-05	5.230904e-04	-1.376696e-05	-2.430065e-05
4.576220962092569e-05	5.230904e-04	-1.354155e-05	-2.348868e-05
4.811087569517174e-05	5.228519e-04	-1.345941e-05	-2.335074e-05
4.959673440210910e-05	5.230904e-04	-1.341177e-05	-2.332339e-05
5.045331883487416e-05	5.230904e-04	-1.338582e-05	-2.332370e-05
5.076081092068273e-05	5.230904e-04	-1.334496e-05	-5.974495e-05
5.096490034409280e-05	5.228519e-04	-1.327794e-05	-9.369682e-05
5.111164617013456e-05	5.230904e-04	-1.321727e-05	-9.540824e-05
5.119849704849696e-05	5.230904e-04	-1.318197e-05	-9.688450e-05
5.128272772436815e-05	5.228519e-04	-1.314820e-05	-9.785058e-05
5.140736761880925e-05	5.230904e-04	-1.309901e-05	-1.005253e-04
5.165664740769146e-05	5.230904e-04	-1.300381e-05	-1.088011e-04
5.192245013188332e-05	5.233288e-04	-1.290644e-05	-1.250674e-04
5.234796725669090e-05	5.235672e-04	-1.275940e-05	-1.730491e-04
5.290955647075580e-05	5.240440e-04	-1.258254e-05	-3.118767e-04
5.357462960282228e-05	5.254745e-04	-1.239895e-05	-6.827794e-04
5.432316852212335e-05	5.295277e-04	-1.222356e-05	-1.587928e-03
5.507680885701776e-05	5.381107e-04	-1.207672e-05	-3.349728e-03
5.598679508004954e-05	5.602837e-04	-1.193236e-05	-7.153028e-03
