time	I(Vcell12)
Step Information: Rval=1K  (Step: 1/3)
0.000000000000000e+00	-2.619974e-07
9.999999439624929e-11	-2.604277e-07
1.999999887924986e-10	-2.589516e-07
1.599999910339989e-09	-2.384851e-07
3.199999820679977e-09	-2.153241e-07
6.399999641359955e-09	-1.697025e-07
1.279999928271991e-08	-8.119836e-08
2.559999856543982e-08	8.531016e-08
4.832347610486177e-08	3.487540e-07
7.268114941848782e-08	5.283351e-07
8.548564836133463e-08	3.979207e-07
9.475102220085958e-08	7.770954e-08
1.054117923128095e-07	-4.224340e-07
1.178370979391144e-07	-1.019667e-06
1.351350758677318e-07	-1.807813e-06
1.687382875388465e-07	-3.174922e-06
2.003625677396387e-07	-4.228728e-06
2.439985576043179e-07	-5.138440e-06
2.875434911137562e-07	-5.409524e-06
3.419852800148745e-07	-5.400318e-06
4.115755394900326e-07	-5.356456e-06
5.318856265958203e-07	-5.278511e-06
7.725058008073957e-07	-5.151827e-06
1.001992974865967e-06	-5.066716e-06
1.306223700655560e-06	-4.988810e-06
1.600967206524122e-06	-4.937815e-06
2.013734764516551e-06	-4.887889e-06
2.463976784175879e-06	-4.848798e-06
3.133057744346969e-06	-4.802615e-06
3.982387331622032e-06	-4.751972e-06
5.377020927473362e-06	-4.675011e-06
7.045206431593960e-06	-4.594050e-06
8.969340523504290e-06	-4.591438e-06
1.058577374630764e-05	-5.056163e-06
1.168107166625618e-05	-6.012282e-06
1.271380338445261e-05	-7.440709e-06
1.401720020993214e-05	-9.518236e-06
1.556796633872020e-05	-1.198246e-05
1.706645732944147e-05	-1.416252e-05
1.863988757496365e-05	-1.612546e-05
2.058237251456222e-05	-1.798196e-05
2.305319218113489e-05	-1.965811e-05
2.490531059057490e-05	-2.024466e-05
2.690907205994494e-05	-2.007931e-05
2.904542125569445e-05	-1.960187e-05
3.110665044479228e-05	-1.910633e-05
3.718358587444945e-05	-1.771925e-05
4.371879164885139e-05	-1.638097e-05
4.649685062246789e-05	-1.585484e-05
4.733117445893192e-05	-1.570374e-05
4.780578336577828e-05	-2.513755e-05
4.805600742891123e-05	-5.915740e-05
4.820432164742614e-05	-5.755229e-05
4.837459076488557e-05	-5.731596e-05
4.854834159623722e-05	-5.712899e-05
4.864671431612098e-05	-1.388709e-04
4.875058176065788e-05	-3.288570e-04
4.883881415868304e-05	-5.466153e-04
4.893511552658389e-05	-8.514521e-04
4.904233134043759e-05	-1.270235e-03
4.925676296814499e-05	-2.359552e-03
4.954166179134821e-05	-4.319837e-03
4.985577678112995e-05	-7.151186e-03
5.021684040093866e-05	-1.125943e-02
5.064172136029732e-05	-1.724152e-02
5.117936699030854e-05	-2.654802e-02
5.188616485206679e-05	-4.164594e-02
5.285397430574371e-05	-6.737887e-02
5.369381822563007e-05	-9.422154e-02
5.469321769152016e-05	-1.313242e-01
5.561616510981339e-05	-1.702888e-01
5.683730234505107e-05	-2.283197e-01
5.810543530109671e-05	-2.958131e-01
5.978952845075389e-05	-3.957590e-01
6.164488748087418e-05	-5.179430e-01
6.419929996970992e-05	-7.037345e-01
6.729720276622665e-05	-9.508690e-01
7.190388419143087e-05	-1.349259e+00
7.800076818140747e-05	-1.905990e+00
8.654616847715305e-05	-2.688579e+00
9.654616847715305e-05	-3.540651e+00
1.065461684771531e-04	-4.280490e+00
1.106606428692505e-04	-4.547292e+00
1.147088466260572e-04	-4.789092e+00
1.168825850256599e-04	-4.910544e+00
1.190188928836441e-04	-5.024384e+00
1.220856146260848e-04	-5.178529e+00
1.253219986685315e-04	-5.329694e+00
1.274409730508787e-04	-5.422469e+00
1.289945381008444e-04	-5.487482e+00
1.301773727085891e-04	-5.535318e+00
1.311597874389886e-04	-5.573973e+00
1.321547868043041e-04	-5.612143e+00
1.332542342030164e-04	-5.653179e+00
1.343085701014064e-04	-5.691406e+00
1.353901056055170e-04	-5.729459e+00
1.364656772452172e-04	-5.766099e+00
1.375496125164602e-04	-5.801726e+00
1.386148111781139e-04	-5.835323e+00
1.396759092576879e-04	-5.867157e+00
1.407221788732215e-04	-5.896600e+00
1.417528129593476e-04	-5.923238e+00
1.427642423883510e-04	-5.946535e+00
1.437579042034098e-04	-5.966069e+00
1.447394709951468e-04	-5.981472e+00
1.457231694868654e-04	-5.992320e+00
1.467334977708325e-04	-5.997780e+00
1.478137996687965e-04	-5.996055e+00
1.490486254405260e-04	-5.983141e+00
1.506415770585201e-04	-5.948761e+00
1.529008082076403e-04	-5.871441e+00
1.554344606662018e-04	-5.759581e+00
1.579186630416624e-04	-5.638002e+00
1.619049204529004e-04	-5.438550e+00
1.658064851751036e-04	-5.251322e+00
1.699653146861698e-04	-5.067242e+00
1.745230390463678e-04	-4.886085e+00
1.809344058452390e-04	-4.666390e+00
1.909344058452390e-04	-4.394593e+00
2.009344058452390e-04	-4.192519e+00
2.109344058452390e-04	-4.042170e+00
2.209344058452390e-04	-3.929929e+00
2.309344058452390e-04	-3.845798e+00
2.409344058452390e-04	-3.782477e+00
2.509344058452391e-04	-3.734629e+00
2.609344058452390e-04	-3.698332e+00
