time	V(out_pos,out_neg)	I(R1)	I(Vcell12)	I(Vcell22)
0.000000000000000e+00	5.238056e-04	1.449161e-11	-2.619927e-07	-2.619851e-07
9.999999439624929e-11	5.238056e-04	-2.566264e-09	-2.584499e-07	-2.622260e-07
1.999999887924986e-10	5.238056e-04	-5.070926e-09	-2.551126e-07	-2.623837e-07
1.599999910339989e-09	5.240440e-04	-3.941437e-08	-2.087157e-07	-2.637067e-07
3.199999820679977e-09	5.240440e-04	-7.821372e-08	-1.562353e-07	-2.651396e-07
6.399999641359955e-09	5.247593e-04	-1.543971e-07	-5.296644e-08	-2.680417e-07
1.279999928271991e-08	5.271435e-04	-3.012839e-07	1.469563e-07	-2.740083e-07
2.559999856543982e-08	5.359650e-04	-5.762295e-07	5.214814e-07	-2.865217e-07
4.654296646126567e-08	5.583763e-04	-9.700041e-07	1.066517e-06	-3.084488e-07
7.016465614811217e-08	5.917549e-04	-1.256900e-06	1.512008e-06	-3.342502e-07
8.254864823937595e-08	6.105900e-04	-1.166008e-06	1.386134e-06	-3.457603e-07
9.131977382311439e-08	6.215572e-04	-8.204006e-07	8.667669e-07	-3.509898e-07
1.009038233868899e-07	6.260872e-04	-1.983590e-07	-3.280736e-08	-3.543901e-07
1.130033097342924e-07	6.191730e-04	6.922174e-07	-1.267787e-06	-3.571164e-07
1.276305848282775e-07	5.919933e-04	1.743666e-06	-2.693006e-06	-3.596422e-07
1.492738589475858e-07	5.190372e-04	3.177588e-06	-4.610839e-06	-3.655085e-07
1.715090879523006e-07	4.103184e-04	4.464285e-06	-6.313552e-06	-3.820618e-07
1.972336186927372e-07	2.496243e-04	5.659418e-06	-7.855662e-06	-4.389548e-07
2.242536831131746e-07	5.483627e-05	6.514725e-06	-8.950426e-06	-5.154058e-07
2.606029429338515e-07	-2.241135e-04	7.104773e-06	-9.530065e-06	-6.206839e-07
3.013350697052925e-07	-5.340576e-04	7.345499e-06	-9.542525e-06	-5.671175e-07
3.598995814397066e-07	-9.567738e-04	7.454851e-06	-9.385572e-06	-4.339073e-07
4.304784205162364e-07	-1.419306e-03	7.532526e-06	-9.181633e-06	-2.808000e-07
5.716360986692960e-07	-2.212524e-03	7.654239e-06	-8.808590e-06	-1.135203e-08
7.818373266672154e-07	-3.169060e-03	7.807686e-06	-8.364564e-06	3.073271e-07
1.009449409306601e-06	-3.950357e-03	7.950523e-06	-8.011635e-06	5.624279e-07
1.273521135601201e-06	-4.593134e-03	8.094334e-06	-7.724789e-06	7.713095e-07
1.562876655692163e-06	-5.064726e-03	8.231888e-06	-7.516233e-06	9.225339e-07
1.918284963206890e-06	-5.420923e-03	8.378867e-06	-7.358829e-06	1.033684e-06
2.332093568855413e-06	-5.644560e-03	8.526185e-06	-7.259758e-06	1.096951e-06
2.856933250640635e-06	-5.762339e-03	8.684181e-06	-7.204999e-06	1.120220e-06
3.461034009788703e-06	-5.787849e-03	8.835784e-06	-7.189157e-06	1.107966e-06
4.057805026979409e-06	-5.759954e-03	8.958054e-06	-7.193615e-06	1.079749e-06
4.769812977307418e-06	-5.706787e-03	9.072667e-06	-7.205708e-06	1.041320e-06
5.824927098750930e-06	-5.631924e-03	9.200138e-06	-7.222185e-06	9.888178e-07
6.963422476174329e-06	-5.570173e-03	9.296785e-06	-7.232006e-06	9.425559e-07
8.191369485215859e-06	-5.525589e-03	9.364364e-06	-7.234065e-06	9.043484e-07
9.317608280080228e-06	-5.500317e-03	9.401373e-06	-7.231336e-06	8.772654e-07
1.050975558600799e-05	-5.484581e-03	9.421271e-06	-7.230123e-06	8.550237e-07
1.166940004729083e-05	-5.477667e-03	9.427317e-06	-7.243545e-06	8.382446e-07
1.288574563667819e-05	-5.480528e-03	9.423595e-06	-7.308857e-06	8.260993e-07
1.406396440581647e-05	-5.499125e-03	9.413563e-06	-7.495877e-06	8.212797e-07
1.526424621675128e-05	-5.545616e-03	9.399615e-06	-7.929837e-06	8.282747e-07
1.641713828265024e-05	-5.627871e-03	9.384827e-06	-8.654721e-06	8.508712e-07
1.754325944612194e-05	-5.747557e-03	9.370243e-06	-9.616915e-06	8.897110e-07
1.864330833538789e-05	-5.896091e-03	9.356329e-06	-1.069383e-05	9.400496e-07
1.992783188374955e-05	-6.091595e-03	9.340563e-06	-1.201135e-05	1.007708e-06
2.154113754309836e-05	-6.344795e-03	9.321302e-06	-1.365265e-05	1.096740e-06
2.338207826503102e-05	-6.623030e-03	9.299761e-06	-1.541678e-05	1.196030e-06
2.569818825598770e-05	-6.934881e-03	9.272822e-06	-1.738740e-05	1.309248e-06
2.862057836893428e-05	-7.252455e-03	9.238322e-06	-1.938276e-05	1.426733e-06
3.207998128695348e-05	-7.521152e-03	9.195963e-06	-2.100200e-05	1.524145e-06
3.552801750945338e-05	-7.677555e-03	9.151265e-06	-2.203650e-05	1.584988e-06
3.868085792996471e-05	-7.703304e-03	9.107286e-06	-2.216637e-05	1.601743e-06
4.216224624915955e-05	-7.607937e-03	9.055520e-06	-2.152881e-05	1.570459e-06
4.536460766078730e-05	-7.453918e-03	9.005949e-06	-2.077986e-05	1.524118e-06
4.907398698570924e-05	-7.249355e-03	8.947273e-06	-1.994877e-05	1.477103e-06
5.289553429453778e-05	-7.026434e-03	8.886400e-06	-1.915220e-05	1.440100e-06
5.619882627802486e-05	-6.815195e-03	8.833964e-06	-1.851352e-05	1.421814e-06
5.771539044098881e-05	-6.708384e-03	8.810090e-06	-1.823640e-05	1.418921e-06
5.810951303258049e-05	-5.534172e-03	8.803197e-06	-1.816613e-05	1.418921e-06
5.837011972671378e-05	-9.186268e-04	8.795934e-06	-2.687116e-05	5.229953e-08
5.860426126856164e-05	8.353472e-03	8.784647e-06	-4.097350e-05	-3.812566e-06
5.883781691248042e-05	1.976442e-02	8.768633e-06	-4.465979e-05	-8.251979e-06
5.907124106163871e-05	3.011227e-02	8.749065e-06	-5.062075e-05	-1.178620e-05
5.931187842472170e-05	3.924441e-02	8.725717e-06	-5.485833e-05	-1.502198e-05
5.959290907110081e-05	4.832768e-02	8.694793e-06	-5.959310e-05	-1.815034e-05
6.000223318253644e-05	5.952525e-02	8.645336e-06	-6.359869e-05	-2.175324e-05
6.028323224153258e-05	6.605697e-02	8.609096e-06	-6.351266e-05	-2.360590e-05
6.056498468411705e-05	7.162952e-02	8.570979e-06	-6.684328e-05	-2.490982e-05
6.093259324736585e-05	7.816792e-02	8.519893e-06	-6.758289e-05	-2.581970e-05
6.130247183964363e-05	8.456540e-02	8.468286e-06	-7.154688e-05	-2.565697e-05
6.171199480707597e-05	9.224153e-02	8.412795e-06	-7.312896e-05	-2.400249e-05
6.210709938595879e-05	1.012614e-01	8.363377e-06	-7.856846e-05	-2.083329e-05
6.255254969201079e-05	1.143308e-01	8.315023e-06	-8.302018e-05	-1.595765e-05
6.301329614439910e-05	1.315861e-01	8.274616e-06	-9.276910e-05	-1.087595e-05
6.360287270650250e-05	1.580067e-01	8.234329e-06	-1.042801e-04	-6.192868e-06
6.403242405238941e-05	1.794899e-01	8.211137e-06	-1.165556e-04	-4.371894e-06
6.447261967405257e-05	2.029932e-01	8.191823e-06	-1.266019e-04	-3.199627e-06
6.508129982613348e-05	2.366354e-01	8.168997e-06	-1.447472e-04	-2.141696e-06
6.566034847233057e-05	2.694520e-01	8.150392e-06	-1.594472e-04	-1.453330e-06
6.648942439120327e-05	3.174043e-01	8.127865e-06	-1.847059e-04	-7.109504e-07
6.747786591946445e-05	3.755662e-01	8.105879e-06	-2.119838e-04	-8.446185e-08
6.941167246927588e-05	4.907629e-01	8.070575e-06	-2.708166e-04	7.545249e-07
7.006924081541253e-05	5.301971e-01	8.060339e-06	-2.889722e-04	8.839378e-07
7.045156048404137e-05	5.532055e-01	8.055076e-06	-3.019259e-04	1.009001e-06
7.068012102517581e-05	5.669675e-01	8.052077e-06	-3.072628e-04	1.065884e-06
7.090137100201949e-05	5.802865e-01	8.049269e-06	-3.153957e-04	1.115635e-06
7.113611887002330e-05	5.944042e-01	8.046370e-06	-3.209065e-04	1.175568e-06
7.135856309704174e-05	6.077547e-01	8.043696e-06	-3.290505e-04	1.224705e-06
7.158739717141573e-05	6.214370e-01	8.041021e-06	-3.343366e-04	1.284126e-06
7.181616270976034e-05	6.350249e-01	8.038423e-06	-3.425833e-04	1.339005e-06
7.204934050777020e-05	6.487176e-01	8.035861e-06	-3.478495e-04	1.409225e-06
7.228877040330864e-05	6.625115e-01	8.033329e-06	-3.561571e-04	1.484702e-06
7.253960441132549e-05	6.765134e-01	8.030802e-06	-3.615134e-04	1.589180e-06
7.281102459953738e-05	6.909140e-01	8.028243e-06	-3.700329e-04	1.717969e-06
7.312067009989517e-05	7.060746e-01	8.025585e-06	-3.758665e-04	1.896822e-06
7.352050694937808e-05	7.232767e-01	8.022620e-06	-3.857568e-04	2.126671e-06
7.420051952136865e-05	7.479720e-01	8.018456e-06	-3.961530e-04	2.446376e-06
7.499938847487930e-05	7.723385e-01	8.014440e-06	-4.092888e-04	2.632516e-06
7.582898995070386e-05	7.939701e-01	8.010918e-06	-4.182776e-04	2.744889e-06
7.700498850880440e-05	8.211207e-01	8.006466e-06	-4.332293e-04	2.828352e-06
7.876237587548986e-05	8.581759e-01	8.000194e-06	-4.501106e-04	2.896086e-06
8.120350496341149e-05	9.063517e-01	7.991597e-06	-4.755248e-04	2.939386e-06
8.381643987153026e-05	9.556395e-01	7.982230e-06	-4.984977e-04	2.968945e-06
8.684487266689500e-05	1.011039e+00	7.971046e-06	-5.276299e-04	2.986769e-06
