time	V(out_pos,out_neg)	I(R1)	I(Vcell12)	I(Vcell22)
0.000000000000000e+00	5.238056e-04	1.449249e-11	-2.619927e-07	-2.619851e-07
9.999999439624929e-11	5.238056e-04	-3.243213e-11	-2.602570e-07	-2.623560e-07
1.999999887924986e-10	5.240440e-04	-7.797411e-11	-2.586307e-07	-2.626626e-07
1.599999910339989e-09	5.238056e-04	-7.025709e-10	-2.361499e-07	-2.663857e-07
3.199999820679977e-09	5.240440e-04	-1.408517e-09	-2.107482e-07	-2.705606e-07
6.399999641359955e-09	5.242825e-04	-2.795637e-09	-1.608096e-07	-2.788364e-07
1.279999928271991e-08	5.261898e-04	-5.473917e-09	-6.430907e-08	-2.951111e-07
2.559999856543982e-08	5.319118e-04	-1.049712e-08	1.157720e-07	-3.265713e-07
4.700307195007396e-08	5.476475e-04	-1.800169e-08	3.811427e-07	-3.760757e-07
6.802833979507055e-08	5.681515e-04	-2.355920e-08	5.802457e-07	-4.184314e-07
7.862247832085670e-08	5.793571e-04	-2.341780e-08	5.836756e-07	-4.283227e-07
8.773786244128211e-08	5.881786e-04	-1.856314e-08	3.982740e-07	-4.140170e-07
9.679637701863592e-08	5.931854e-04	-9.049869e-09	2.493497e-08	-3.769818e-07
1.085416737283241e-07	5.924702e-04	6.395068e-09	-5.533491e-07	-3.174506e-07
1.211105623570423e-07	5.812645e-04	2.319828e-08	-1.158760e-06	-2.552838e-07
1.394720549303499e-07	5.466938e-04	4.622137e-08	-1.971871e-06	-1.745225e-07
1.642245940714963e-07	4.749298e-04	7.399524e-08	-2.924010e-06	-9.205122e-08
1.886479384758031e-07	3.812313e-04	9.681792e-08	-3.670059e-06	-6.103313e-08
2.143733444840905e-07	2.636909e-04	1.146625e-07	-4.210650e-06	-9.617470e-08
2.411306384943436e-07	1.318455e-04	1.260511e-07	-4.497199e-06	-1.577980e-07
2.772187088459726e-07	-4.684925e-05	1.332307e-07	-4.555974e-06	-2.225418e-07
3.227114340778019e-07	-2.620220e-04	1.367737e-07	-4.427977e-06	-1.720011e-07
3.820186816496970e-07	-5.186796e-04	1.391138e-07	-4.239883e-06	-9.746995e-08
4.761705020373150e-07	-8.765459e-04	1.421147e-07	-3.957487e-06	8.523240e-09
5.923981384487303e-07	-1.250386e-03	1.454237e-07	-3.648957e-06	1.179773e-07
7.112555842168270e-07	-1.559854e-03	1.485210e-07	-3.377375e-06	2.078218e-07
8.485578148755904e-07	-1.838565e-03	1.518360e-07	-3.110943e-06	2.882812e-07
9.930993565800586e-07	-2.055287e-03	1.550814e-07	-2.876328e-06	3.503050e-07
1.179807763017056e-06	-2.243161e-03	1.589716e-07	-2.628632e-06	4.029040e-07
1.402281075613536e-06	-2.366900e-03	1.632499e-07	-2.396679e-06	4.341488e-07
1.696164246669785e-06	-2.413273e-03	1.684167e-07	-2.165997e-06	4.380358e-07
2.061011696523465e-06	-2.355099e-03	1.742110e-07	-1.960888e-06	4.042760e-07
2.550641976092507e-06	-2.171159e-03	1.811341e-07	-1.771607e-06	3.224587e-07
3.138994198397288e-06	-1.888394e-03	1.883988e-07	-1.617715e-06	2.014608e-07
3.938145661557813e-06	-1.500487e-03	1.967439e-07	-1.472500e-06	3.418544e-08
5.096630637113730e-06	-1.021981e-03	2.065315e-07	-1.322706e-06	-1.805825e-07
6.751404367306389e-06	-5.105734e-04	2.173704e-07	-1.168618e-06	-4.183702e-07
8.499108931764446e-06	-1.381636e-04	2.260437e-07	-1.048070e-06	-5.986830e-07
1.008092292434575e-05	8.559227e-05	2.319424e-07	-9.643588e-07	-7.188976e-07
1.181326890207613e-05	2.501011e-04	2.368607e-07	-8.926907e-07	-8.186714e-07
1.367673165916084e-05	3.718734e-04	2.409619e-07	-8.324855e-07	-8.995136e-07
1.546573820376667e-05	4.518628e-04	2.440088e-07	-7.868846e-07	-9.583999e-07
1.755360928323841e-05	5.152225e-04	2.467447e-07	-7.448089e-07	-1.010530e-06
1.988788072357852e-05	5.628467e-04	2.490891e-07	-7.083398e-07	-1.053275e-06
2.237843217305702e-05	5.962849e-04	2.509846e-07	-6.779740e-07	-1.086006e-06
2.501560291415497e-05	6.195307e-04	2.525008e-07	-6.528024e-07	-1.110416e-06
2.780195203999458e-05	6.355643e-04	2.537110e-07	-6.327364e-07	-1.128159e-06
3.066735142248398e-05	6.459355e-04	2.546476e-07	-6.186947e-07	-1.140048e-06
3.371394132373566e-05	6.518960e-04	2.553900e-07	-6.112505e-07	-1.147522e-06
3.699477826706699e-05	6.536245e-04	2.559779e-07	-6.128703e-07	-1.150990e-06
4.050903072783546e-05	6.508827e-04	2.564321e-07	-6.274969e-07	-1.150711e-06
4.425760756566455e-05	6.430149e-04	2.567735e-07	-6.605891e-07	-1.146733e-06
4.850889276399339e-05	6.286502e-04	2.570443e-07	-7.232229e-07	-1.138590e-06
5.255484196846181e-05	6.100535e-04	2.572288e-07	-8.091669e-07	-1.127833e-06
5.677960507255997e-05	5.859733e-04	2.573754e-07	-9.245136e-07	-1.114222e-06
6.145906836521313e-05	5.555749e-04	2.575144e-07	-1.076079e-06	-1.097085e-06
6.634056974645068e-05	5.218387e-04	2.576542e-07	-1.249447e-06	-1.078004e-06
7.205382217222650e-05	4.824400e-04	2.578269e-07	-1.455521e-06	-1.055349e-06
7.862141179897154e-05	4.405975e-04	2.580466e-07	-1.677506e-06	-1.030369e-06
8.721276199887201e-05	3.942251e-04	2.583654e-07	-1.923230e-06	-1.000763e-06
9.721276199887200e-05	3.522635e-04	2.587651e-07	-2.135419e-06	-9.714020e-07
1.072127619988720e-04	3.219843e-04	2.591783e-07	-2.274657e-06	-9.469446e-07
1.172127619988720e-04	3.012419e-04	2.595896e-07	-2.356662e-06	-9.263580e-07
1.272127619988720e-04	2.872944e-04	2.599890e-07	-2.396929e-06	-9.085346e-07
1.372127619988720e-04	2.778769e-04	2.603722e-07	-2.408223e-06	-8.927560e-07
1.472127619988720e-04	2.716184e-04	2.607389e-07	-2.400076e-06	-8.783698e-07
1.672127619988720e-04	2.646446e-04	2.614290e-07	-2.350164e-06	-8.525881e-07
1.872127619988720e-04	2.616048e-04	2.620739e-07	-2.279548e-06	-8.294325e-07
2.072127619988720e-04	2.602339e-04	2.626840e-07	-2.202790e-06	-8.080993e-07
2.272127619988720e-04	2.596974e-04	2.632650e-07	-2.126195e-06	-7.881889e-07
2.372127619988720e-04	2.595782e-04	2.635460e-07	-2.088804e-06	-7.787210e-07
2.472127619988720e-04	2.595782e-04	2.638213e-07	-2.052272e-06	-7.695103e-07
2.572127619988720e-04	2.595782e-04	2.640910e-07	-2.016598e-06	-7.606184e-07
2.672127619988720e-04	2.596378e-04	2.643553e-07	-1.981906e-06	-7.519549e-07
2.772127619988720e-04	2.597570e-04	2.646140e-07	-1.948146e-06	-7.435837e-07
2.872127619988720e-04	2.597570e-04	2.648674e-07	-1.915397e-06	-7.354170e-07
2.972127619988720e-04	2.598166e-04	2.651153e-07	-1.883585e-06	-7.275221e-07
3.072127619988720e-04	2.598763e-04	2.653580e-07	-1.852767e-06	-7.198132e-07
3.172127619988720e-04	2.598763e-04	2.655955e-07	-1.822861e-06	-7.123596e-07
3.272127619988720e-04	2.598166e-04	2.658282e-07	-1.793908e-06	-7.050765e-07
3.341480590645195e-04	1.515627e-03	2.659110e-07	-1.774333e-06	-7.001784e-07
3.374421990706604e-04	5.174577e-03	2.657345e-07	-4.629095e-06	-2.045162e-06
3.393187547948996e-04	9.336233e-03	2.653827e-07	-8.793942e-06	-4.191061e-06
3.405430074051446e-04	1.157773e-02	2.649969e-07	-9.079766e-06	-4.941393e-06
3.416451093047035e-04	1.244664e-02	2.645764e-07	-9.831450e-06	-5.099437e-06
3.425801054612859e-04	1.285034e-02	2.641916e-07	-9.798010e-06	-5.296331e-06
3.434465452762199e-04	1.309800e-02	2.638178e-07	-1.006343e-05	-5.335855e-06
3.443201037808080e-04	1.326287e-02	2.634270e-07	-1.008233e-05	-5.415400e-06
3.456580016121701e-04	1.347685e-02	2.628074e-07	-1.026928e-05	-5.469410e-06
3.473116343571427e-04	1.371729e-02	2.620117e-07	-1.038996e-05	-5.553561e-06
3.498594822279931e-04	1.414531e-02	2.607240e-07	-1.071391e-05	-5.671833e-06
3.538636275245344e-04	1.503170e-02	2.585825e-07	-1.130502e-05	-5.935284e-06
3.576299103856752e-04	1.639551e-02	2.564204e-07	-1.215715e-05	-6.229443e-06
3.631703478355709e-04	2.086592e-02	2.530203e-07	-1.421716e-05	-6.677277e-06
3.686898679361750e-04	3.058833e-02	2.495466e-07	-1.956959e-05	-6.462475e-06
3.712904621914242e-04	4.003441e-02	2.479970e-07	-2.381511e-05	-5.643293e-06
3.737749912400587e-04	5.521590e-02	2.467040e-07	-3.170872e-05	-4.762454e-06
3.765932637197389e-04	7.915315e-02	2.454674e-07	-4.339219e-05	-3.938193e-06
3.794819995028837e-04	1.102873e-01	2.444193e-07	-5.956369e-05	-3.335205e-06
3.826077199060790e-04	1.505191e-01	2.434885e-07	-7.960814e-05	-2.888766e-06
3.856026370475854e-04	1.951029e-01	2.427618e-07	-1.023885e-04	-2.572565e-06
3.897349202985880e-04	2.653178e-01	2.419619e-07	-1.369535e-04	-2.255930e-06
3.951111130809280e-04	3.680445e-01	2.411410e-07	-1.889566e-04	-1.972674e-06
4.003586734296659e-04	4.779918e-01	2.404996e-07	-2.448739e-04	-1.785040e-06
4.026171230717966e-04	5.285112e-01	2.402688e-07	-2.710928e-04	-1.718729e-06
4.040595199257813e-04	5.620615e-01	2.401375e-07	-2.876894e-04	-1.679703e-06
4.053462592077119e-04	5.926768e-01	2.400284e-07	-3.031187e-04	-1.646588e-06
4.058103778832171e-04	6.039102e-01	2.399907e-07	-3.088855e-04	-1.635212e-06
4.062744965587223e-04	6.151640e-01	2.399538e-07	-3.146216e-04	-1.622993e-06
4.067386152342275e-04	6.264381e-01	2.399177e-07	-3.203270e-04	-1.609930e-06
4.072027339097327e-04	6.377326e-01	2.398825e-07	-3.260016e-04	-1.596022e-06
4.076668525852379e-04	6.490475e-01	2.398482e-07	-3.316455e-04	-1.581271e-06
4.081309712607431e-04	6.603827e-01	2.398146e-07	-3.372587e-04	-1.565676e-06
4.085950899362483e-04	6.717383e-01	2.397819e-07	-3.428411e-04	-1.549238e-06
4.091504872911423e-04	6.851000e-01	2.397444e-07	-3.499027e-04	-1.520620e-06
4.097281730983447e-04	6.986722e-01	2.397075e-07	-3.563367e-04	-1.485424e-06
4.103420992731780e-04	7.125027e-01	2.396713e-07	-3.636130e-04	-1.434797e-06
4.110339407140026e-04	7.270449e-01	2.396351e-07	-3.705197e-04	-1.368180e-06
4.118824528270780e-04	7.429993e-01	2.395982e-07	-3.789010e-04	-1.278889e-06
4.131736690887719e-04	7.637851e-01	2.395562e-07	-3.889707e-04	-1.165428e-06
4.149382618655864e-04	7.877343e-01	2.395180e-07	-4.011445e-04	-1.071528e-06
4.168396938723215e-04	8.098344e-01	2.394946e-07	-4.117132e-04	-1.022264e-06
4.192987337787816e-04	8.351786e-01	2.394832e-07	-4.247765e-04	-9.811131e-07
4.229681983155945e-04	8.700847e-01	2.394889e-07	-4.419826e-04	-9.544349e-07
4.286896710876541e-04	9.221204e-01	2.395247e-07	-4.684425e-04	-9.271077e-07
4.343585212319802e-04	9.728682e-01	2.395787e-07	-4.935655e-04	-9.162917e-07
4.414463389623594e-04	1.036516e+00	2.396616e-07	-5.259019e-04	-8.981920e-07
4.499474010523408e-04	1.114015e+00	2.397726e-07	-5.644796e-04	-8.879798e-07
4.599474010523408e-04	1.207060e+00	2.399130e-07	-6.115919e-04	-8.692345e-07
4.699474010523408e-04	1.302142e+00	2.400611e-07	-6.590346e-04	-8.592461e-07
4.799474010523408e-04	1.399168e+00	2.402152e-07	-7.081210e-04	-8.424237e-07
4.899474010523408e-04	1.497893e+00	2.403742e-07	-7.573178e-04	-8.337391e-07
4.999474010523408e-04	1.598064e+00	2.405371e-07	-8.079128e-04	-8.183007e-07
5.099474010523408e-04	1.699440e+00	2.407033e-07	-8.583775e-04	-8.107019e-07
5.199474010523408e-04	1.801800e+00	2.408721e-07	-9.100158e-04	-7.964787e-07
5.299474010523408e-04	1.904942e+00	2.410429e-07	-9.613181e-04	-7.898510e-07
5.399474010523408e-04	2.008685e+00	2.412153e-07	-1.013608e-03	-7.766250e-07
5.499474010523408e-04	2.112866e+00	2.413888e-07	-1.065395e-03	-7.710205e-07
5.599474010523408e-04	2.217340e+00	2.415630e-07	-1.118020e-03	-7.586053e-07
5.699474010523408e-04	2.321978e+00	2.417376e-07	-1.170009e-03	-7.538696e-07
5.799474010523408e-04	2.426665e+00	2.419123e-07	-1.222717e-03	-7.421874e-07
5.899474010523408e-04	2.531299e+00	2.420868e-07	-1.274682e-03	-7.381515e-07
5.999474010523408e-04	2.636078e+00	2.422766e-07	-1.327273e-03	-7.272009e-07
6.099474010523408e-04	2.742806e+00	2.425775e-07	-1.379615e-03	-3.989294e-05
6.149761864256964e-04	2.799408e+00	2.428972e-07	-1.408753e-03	-2.091035e-04
6.200730960231683e-04	2.859597e+00	2.434032e-07	-1.438625e-03	-4.245095e-04
6.238639026903025e-04	2.905213e+00	2.438528e-07	-1.461825e-03	-5.864514e-04
6.265903777163463e-04	2.937054e+00	2.442223e-07	-1.478042e-03	-6.983496e-04
6.274811818911379e-04	2.945260e+00	2.443754e-07	-1.481778e-03	-7.324973e-04
6.278236918528451e-04	2.947129e+00	2.444506e-07	-1.482022e-03	-7.449155e-04
6.280411894406557e-04	2.947883e+00	2.445032e-07	-1.482727e-03	-7.527189e-04
6.283323344728799e-04	2.948770e+00	2.445739e-07	-1.482764e-03	-7.630612e-04
6.287731113445118e-04	2.949996e+00	2.446807e-07	-1.483697e-03	-7.785649e-04
6.292800521181340e-04	2.951307e+00	2.448023e-07	-1.483925e-03	-7.961390e-04
6.298352722052027e-04	2.952663e+00	2.449334e-07	-1.484917e-03	-8.151270e-04
6.305493066223603e-04	2.954343e+00	2.450985e-07	-1.485316e-03	-8.390811e-04
6.313357148153831e-04	2.956151e+00	2.452758e-07	-1.486517e-03	-8.649132e-04
6.334582608001344e-04	2.960956e+00	2.457336e-07	-1.488729e-03	-9.314099e-04
6.349000494937574e-04	2.964219e+00	2.460304e-07	-1.489865e-03	-9.737882e-04
6.364581023852062e-04	2.967766e+00	2.463411e-07	-1.491880e-03	-1.017056e-03
6.385029822420943e-04	2.972459e+00	2.467368e-07	-1.493689e-03	-1.069695e-03
6.407100350135397e-04	2.977573e+00	2.471528e-07	-1.496445e-03	-1.121484e-03
6.436207860175207e-04	2.984376e+00	2.476890e-07	-1.499258e-03	-1.182002e-03
6.467613672597164e-04	2.991766e+00	2.482572e-07	-1.503101e-03	-1.238350e-03
6.509305114843786e-04	3.001610e+00	2.490002e-07	-1.507370e-03	-1.300331e-03
6.554266309098339e-04	3.012204e+00	2.497907e-07	-1.512757e-03	-1.353676e-03
6.614510105464818e-04	3.026281e+00	2.508344e-07	-1.519072e-03	-1.407774e-03
6.679423311749472e-04	3.041192e+00	2.519379e-07	-1.526557e-03	-1.450000e-03
6.767568920341625e-04	3.060916e+00	2.533989e-07	-1.535623e-03	-1.489374e-03
