time	I(Vgnd)
0.000000000000000e+00	1.449380e-11
9.999999439624929e-11	-1.905739e-09
1.999999887924986e-10	-3.715361e-09
1.599999910339989e-09	-2.893634e-08
3.199999820679977e-09	-5.749612e-08
6.399999641359955e-09	-1.137803e-07
1.279999928271991e-08	-2.230775e-07
2.559999856543982e-08	-4.291242e-07
4.831828601111428e-08	-7.563599e-07
7.265056051405185e-08	-9.819180e-07
8.544146539740686e-08	-8.247039e-07
9.469966618669110e-08	-4.323799e-07
1.053450996852772e-07	1.827527e-07
1.177690931830065e-07	9.205023e-07
1.350296721798665e-07	1.895246e-06
1.684748964912995e-07	3.592058e-06
2.000585997937077e-07	4.917578e-06
2.353978524864094e-07	5.930765e-06
2.717452933872097e-07	6.426572e-06
3.181495715656735e-07	6.508215e-06
3.741634571662637e-07	6.524641e-06
4.776095627587439e-07	6.527373e-06
6.710404215270623e-07	6.511897e-06
9.135792188063376e-07	6.486753e-06
1.176513191408601e-06	6.458004e-06
1.487218395185683e-06	6.424840e-06
1.851667983961413e-06	6.386524e-06
2.318210802147883e-06	6.339299e-06
2.897555921456227e-06	6.282263e-06
3.704016132008546e-06	6.206251e-06
4.837469823991107e-06	6.104055e-06
6.217572768732151e-06	5.986793e-06
7.884742459914119e-06	5.854228e-06
1.004966285684082e-05	5.705816e-06
1.138304625649011e-05	5.641949e-06
1.239450146508605e-05	5.616754e-06
1.364322762525874e-05	5.606101e-06
1.495715665302225e-05	5.609848e-06
1.631624293569338e-05	5.622189e-06
1.777711926597044e-05	5.640529e-06
1.948900736386050e-05	5.663202e-06
2.165185801121341e-05	5.689187e-06
2.444979545515895e-05	5.709940e-06
2.649765354528558e-05	5.710554e-06
2.880585587789457e-05	5.705704e-06
3.052516031037733e-05	5.700675e-06
3.306630625068619e-05	5.689720e-06
3.604984092689330e-05	5.676119e-06
4.063810369188503e-05	5.654513e-06
4.650665923969186e-05	5.629341e-06
4.814384220984642e-05	5.741572e-06
4.897154151480930e-05	5.945657e-06
