time	-I(Vcell12)
0.000000000000000e+00	3.299904e-03
9.999999439624929e-11	3.299890e-03
1.999999887924986e-10	3.299893e-03
3.999999775849972e-10	3.299891e-03
1.599999910339989e-09	3.299875e-03
3.199999820679977e-09	3.299853e-03
6.399999641359955e-09	3.299811e-03
1.279999928271991e-08	3.299724e-03
2.559999856543982e-08	3.299551e-03
4.506049402747513e-08	3.299298e-03
6.789718443564509e-08	3.299054e-03
8.024464427925829e-08	3.299059e-03
8.806567868104077e-08	3.299230e-03
9.598095457849907e-08	3.299562e-03
1.070918438378252e-07	3.300156e-03
1.188745258639892e-07	3.300833e-03
1.393839261338200e-07	3.302017e-03
1.613555578468300e-07	3.303238e-03
1.872873169063535e-07	3.304567e-03
2.210676656561633e-07	3.306043e-03
2.625517856988888e-07	3.307375e-03
3.094917891208663e-07	3.308277e-03
3.556191497866631e-07	3.308741e-03
4.075425096043136e-07	3.308839e-03
4.597091402651784e-07	3.308797e-03
5.450760259582277e-07	3.308717e-03
6.544334721349311e-07	3.308638e-03
8.314789886112709e-07	3.308536e-03
1.035043289039527e-06	3.308439e-03
1.343313301529117e-06	3.308318e-03
1.641568448352310e-06	3.308226e-03
2.061758084579403e-06	3.308119e-03
2.508477311244853e-06	3.308026e-03
3.180557693031355e-06	3.307904e-03
3.981860412473831e-06	3.307773e-03
5.358780984319626e-06	3.307557e-03
6.432409186771270e-06	3.307421e-03
7.589923648590402e-06	3.307338e-03
8.705264923328211e-06	3.307296e-03
9.459228764684405e-06	3.307246e-03
1.037053747267230e-05	3.307209e-03
1.128555231049806e-05	3.307171e-03
1.251736241038938e-05	3.307183e-03
1.396951826582984e-05	3.307295e-03
1.574024854072541e-05	3.307581e-03
1.764620372759781e-05	3.307959e-03
2.036512197898202e-05	3.308511e-03
2.330407275459824e-05	3.309040e-03
2.658655250251914e-05	3.309567e-03
3.125463001688862e-05	3.310188e-03
3.910929829390201e-05	3.310993e-03
4.761595204230729e-05	3.311574e-03
5.761595204230729e-05	3.312002e-03
6.761595204230729e-05	3.312222e-03
7.761595204230729e-05	3.312319e-03
8.761595204230729e-05	3.312318e-03
9.761595204230729e-05	3.312268e-03
9.796589060769188e-05	3.312256e-03
9.831582917307648e-05	3.312247e-03
9.866576773846108e-05	3.312241e-03
9.901570630384568e-05	3.312238e-03
9.936564486923028e-05	3.312238e-03
9.971558343461487e-05	3.312241e-03
1.000655219999995e-04	3.312246e-03
1.095957620000022e-04	3.312143e-03
1.191260020000049e-04	3.312035e-03
1.286562420000076e-04	3.311922e-03
1.381864820000103e-04	3.311803e-03
1.477167220000130e-04	3.311680e-03
1.572469620000157e-04	3.311552e-03
1.667772020000184e-04	3.311419e-03
2.324914877143041e-04	3.310764e-03
2.982057734285899e-04	3.310213e-03
3.639200591428756e-04	3.309767e-03
4.296343448571614e-04	3.309426e-03
4.953486305714471e-04	3.309189e-03
5.610629162857328e-04	3.309057e-03
6.267772020000184e-04	3.309029e-03
