time	-I(Vcell15)
0.000000000000000e+00	2.600033e-07
9.999999439624929e-11	2.591694e-07
1.999999887924986e-10	2.583683e-07
3.999999775849972e-10	2.567628e-07
7.999999551699943e-10	2.535212e-07
1.599999910339989e-09	2.469131e-07
3.199999820679977e-09	2.332724e-07
6.399999641359955e-09	2.047600e-07
1.279999928271991e-08	1.451659e-07
2.559999856543982e-08	2.477956e-08
5.119999713087964e-08	-1.979268e-07
9.253554529923613e-08	-4.836492e-07
1.510494261028408e-07	2.641445e-07
2.057426377001021e-07	1.985417e-06
2.711914230105473e-07	3.681050e-06
3.308006653849918e-07	4.727874e-06
4.500191501338809e-07	5.371269e-06
4.743573850353746e-07	5.344982e-06
5.230338548383620e-07	5.291907e-06
6.203867944443367e-07	5.250457e-06
8.150926736562861e-07	5.273001e-06
1.204504432080185e-06	5.358973e-06
1.790116944742544e-06	5.397466e-06
2.537169498248037e-06	5.334915e-06
3.609478449165371e-06	5.171628e-06
5.527505858771189e-06	4.876776e-06
9.363560677982827e-06	4.600881e-06
1.703567031640610e-05	1.768174e-05
2.703567031640610e-05	3.708396e-05
3.703567031640610e-05	4.823902e-05
4.703567031640610e-05	5.124575e-05
5.703567031640610e-05	4.894034e-05
6.703567031640610e-05	4.583215e-05
7.703567031640610e-05	4.343375e-05
8.703567031640610e-05	4.074775e-05
9.703567031640610e-05	3.864480e-05
1.000000009999994e-04	3.785694e-05
1.000000019999994e-04	3.791546e-05
1.000000179999994e-04	3.788941e-05
1.000000499999994e-04	3.791492e-05
1.000001139999994e-04	3.789133e-05
1.000002419999994e-04	3.791609e-05
1.000004979999994e-04	3.789265e-05
1.000010099999994e-04	3.791675e-05
1.000020339999994e-04	3.789357e-05
1.000040819999994e-04	3.791828e-05
1.000081779999994e-04	3.789587e-05
1.000163699999994e-04	3.792063e-05
1.000327539999994e-04	3.789603e-05
1.000655219999995e-04	3.791516e-05
1.001310579999995e-04	3.788061e-05
1.002621299999997e-04	3.787879e-05
1.005242740000000e-04	3.779857e-05
1.010485620000006e-04	3.770919e-05
1.020971380000018e-04	3.746176e-05
1.041942900000042e-04	3.704483e-05
1.083885940000089e-04	3.616191e-05
1.167772020000184e-04	3.454574e-05
1.267772020000184e-04	3.269596e-05
1.367772020000184e-04	8.190975e-05
1.467772020000184e-04	2.552888e-05
1.567772020000184e-04	3.823749e-05
1.667772020000184e-04	1.958619e-05
1.767772020000184e-04	3.487123e-05
1.867772020000184e-04	1.739155e-05
1.967772020000184e-04	3.242351e-05
2.067772020000184e-04	1.540802e-05
2.167772020000184e-04	3.042091e-05
2.267772020000184e-04	1.367545e-05
2.367772020000184e-04	2.874254e-05
2.467772020000184e-04	1.218489e-05
2.567772020000184e-04	2.731985e-05
2.667772020000184e-04	1.091189e-05
2.767772020000184e-04	2.611273e-05
2.867772020000184e-04	4.873003e-05
2.967772020000184e-04	2.486648e-03
3.067772020000184e-04	1.405610e-02
3.167772020000184e-04	1.723610e-02
3.267772020000184e-04	2.003925e-02
3.367772020000184e-04	2.153943e-02
3.467772020000184e-04	2.226623e-02
3.567772020000184e-04	2.290650e-02
3.667772020000184e-04	2.356164e-02
3.767772020000184e-04	2.417483e-02
3.867772020000184e-04	2.481555e-02
3.967772020000184e-04	2.541937e-02
4.067772020000184e-04	2.605364e-02
4.167772020000184e-04	2.665249e-02
4.267772020000184e-04	2.728296e-02
4.367772020000184e-04	2.787859e-02
4.467772020000184e-04	2.850645e-02
4.567772020000184e-04	2.909973e-02
4.667772020000184e-04	2.972562e-02
4.767772020000184e-04	3.031706e-02
4.867772020000184e-04	3.094137e-02
4.967772020000184e-04	3.153127e-02
5.067772020000184e-04	3.194766e-02
5.167772020000183e-04	3.196238e-02
5.267772020000184e-04	3.199229e-02
5.367772020000184e-04	3.197917e-02
5.467772020000184e-04	3.200122e-02
5.567772020000183e-04	3.198458e-02
5.667772020000184e-04	3.200479e-02
5.767772020000184e-04	3.198704e-02
5.867772020000184e-04	3.200655e-02
5.967772020000183e-04	3.198831e-02
6.067772020000184e-04	3.200749e-02
6.167772020000184e-04	3.198901e-02
6.267772020000184e-04	3.200802e-02
6.367772020000183e-04	3.198940e-02
6.467772020000183e-04	3.200831e-02
6.567772020000184e-04	3.198960e-02
6.667772020000184e-04	3.200845e-02
6.767772020000183e-04	3.198970e-02
6.867772020000183e-04	3.200851e-02
6.967772020000184e-04	3.198973e-02
7.067772020000184e-04	3.200851e-02
7.167772020000183e-04	3.198971e-02
7.267772020000183e-04	3.200848e-02
7.367772020000184e-04	3.198967e-02
7.467772020000184e-04	3.200844e-02
7.567772020000183e-04	3.198962e-02
7.667772020000183e-04	3.200838e-02
7.767772020000184e-04	3.198955e-02
7.867772020000184e-04	3.200831e-02
7.967772020000183e-04	3.198949e-02
8.067772020000183e-04	3.200824e-02
8.167772020000184e-04	3.198941e-02
8.267772020000184e-04	3.200817e-02
8.367772020000183e-04	3.198935e-02
8.467772020000183e-04	3.200811e-02
8.567772020000184e-04	3.198928e-02
8.667772020000184e-04	3.200804e-02
8.767772020000183e-04	3.198922e-02
8.867772020000183e-04	3.200798e-02
8.967772020000184e-04	3.198916e-02
9.067772020000184e-04	3.200793e-02
9.167772020000183e-04	3.198911e-02
9.267772020000183e-04	3.200788e-02
9.367772020000183e-04	3.198906e-02
9.467772020000184e-04	3.200783e-02
9.567772020000183e-04	3.198902e-02
9.667772020000183e-04	3.200778e-02
9.767772020000183e-04	3.198897e-02
9.867772020000184e-04	3.200774e-02
9.967772020000184e-04	3.198893e-02
1.000000000000000e-03	3.200772e-02
1.000000001000000e-03	3.200568e-02
1.000000017000000e-03	3.199419e-02
1.000000049000000e-03	3.200297e-02
1.000000113000000e-03	3.199418e-02
1.000000241000000e-03	3.200239e-02
1.000000497000000e-03	3.199430e-02
1.000001009000000e-03	3.200232e-02
1.000002033000000e-03	3.199434e-02
1.000004081000000e-03	3.200230e-02
1.000008177000000e-03	3.199434e-02
1.000016369000001e-03	3.200230e-02
