time	V(n001)	I(Cij)
0.000000000000000e+00	3.199983e+00	-3.199996e-03
9.999999939225290e-09	3.199982e+00	-3.208642e-03
1.015624993827569e-08	3.199982e+00	-3.208714e-03
1.109374993257806e-08	3.199982e+00	-3.209163e-03
1.205420372069988e-08	3.199982e+00	-3.209636e-03
1.310996458247755e-08	3.199982e+00	-3.210140e-03
1.487783036437070e-08	3.199982e+00	-3.210853e-03
1.830000762896943e-08	3.199982e+00	-3.211424e-03
2.165404897443914e-08	3.199982e+00	-3.210816e-03
2.437820597374223e-08	3.199982e+00	-3.209684e-03
2.669237572553164e-08	3.199982e+00	-3.208628e-03
2.923701626099428e-08	3.199983e+00	-3.207780e-03
3.228652622328083e-08	3.199983e+00	-3.207578e-03
3.558385051233418e-08	3.199983e+00	-3.208402e-03
3.807496801960970e-08	3.199982e+00	-3.209491e-03
4.050462255839289e-08	3.199982e+00	-3.210546e-03
4.344489616337075e-08	3.199982e+00	-3.211312e-03
4.662455490049445e-08	3.199982e+00	-3.211174e-03
5.094483471527908e-08	3.199982e+00	-3.209702e-03
5.363106801955986e-08	3.199983e+00	-3.208533e-03
5.614349997761065e-08	3.199983e+00	-3.207775e-03
5.931126605043356e-08	3.199983e+00	-3.207679e-03
6.266553322608105e-08	3.199983e+00	-3.208600e-03
6.511088677180122e-08	3.199982e+00	-3.209661e-03
6.758807413061275e-08	3.199982e+00	-3.210662e-03
7.068922327983915e-08	3.199982e+00	-3.211298e-03
7.393441503380567e-08	3.199982e+00	-3.210961e-03
7.785703426875851e-08	3.199982e+00	-3.209541e-03
8.056942420707633e-08	3.199983e+00	-3.208420e-03
8.321278127538955e-08	3.199983e+00	-3.207735e-03
8.635666933204827e-08	3.199983e+00	-3.207787e-03
9.004733521992609e-08	3.199982e+00	-3.208906e-03
9.243861464763889e-08	3.199982e+00	-3.209929e-03
9.497763951399729e-08	3.199982e+00	-3.210832e-03
9.837973343208989e-08	3.199982e+00	-3.211229e-03
1.017722954822427e-07	3.199982e+00	-3.210557e-03
1.044874274125567e-07	3.199982e+00	-3.209487e-03
1.068885393057292e-07	3.199983e+00	-3.208509e-03
1.096219973103680e-07	3.199983e+00	-3.207787e-03
1.127645309777396e-07	3.199983e+00	-3.207796e-03
1.165453626864690e-07	3.199982e+00	-3.208880e-03
1.189130029089462e-07	3.199982e+00	-3.209862e-03
1.214677666106007e-07	3.199982e+00	-3.210752e-03
1.249125199262501e-07	3.199982e+00	-3.211155e-03
1.283277859698438e-07	3.199982e+00	-3.210504e-03
1.310903446397609e-07	3.199982e+00	-3.209449e-03
1.335223762523351e-07	3.199983e+00	-3.208494e-03
1.362993835129582e-07	3.199983e+00	-3.207802e-03
1.394806436868866e-07	3.199983e+00	-3.207848e-03
1.433907847497974e-07	3.199982e+00	-3.208973e-03
1.458873984130941e-07	3.199982e+00	-3.209972e-03
1.485274302674065e-07	3.199982e+00	-3.210800e-03
1.519887703183606e-07	3.199982e+00	-3.211050e-03
1.556052202416847e-07	3.199982e+00	-3.210235e-03
1.582111213448127e-07	3.199982e+00	-3.209228e-03
1.606836846310974e-07	3.199983e+00	-3.208329e-03
1.636391891903587e-07	3.199983e+00	-3.207760e-03
1.668578031760949e-07	3.199983e+00	-3.208013e-03
1.714952467691937e-07	3.199982e+00	-3.209480e-03
1.747104548466683e-07	3.199982e+00	-3.210576e-03
1.778833332250517e-07	3.199982e+00	-3.211017e-03
1.813433447600480e-07	3.199982e+00	-3.210516e-03
1.847659709760416e-07	3.199982e+00	-3.209331e-03
1.874716222021797e-07	3.199983e+00	-3.208366e-03
1.903598386733959e-07	3.199983e+00	-3.207799e-03
1.936281705353270e-07	3.199983e+00	-3.208012e-03
1.980391418994410e-07	3.199982e+00	-3.209348e-03
2.011166556626208e-07	3.199982e+00	-3.210408e-03
2.042181401298120e-07	3.199982e+00	-3.210936e-03
2.076992587410193e-07	3.199982e+00	-3.210578e-03
2.117995139396464e-07	3.199982e+00	-3.209266e-03
2.147286636488487e-07	3.199983e+00	-3.208284e-03
2.176692733038999e-07	3.199983e+00	-3.207804e-03
2.209982296045442e-07	3.199983e+00	-3.208125e-03
2.252019963339975e-07	3.199982e+00	-3.209426e-03
2.283154676939624e-07	3.199982e+00	-3.210436e-03
