time	V(N016,N024)	V(N048,out_1)	V(N074,N084)
0.000000000000000e+00	-3.485669e+00	-3.625517e+00	-2.788812e+00
9.142856630514224e-10	-3.485669e+00	-3.625517e+00	-2.788812e+00
1.828571326102845e-09	-3.485670e+00	-3.625517e+00	-2.788812e+00
2.742856989154267e-09	-3.485669e+00	-3.625517e+00	-2.788812e+00
3.657142652205690e-09	-3.485669e+00	-3.625517e+00	-2.788812e+00
4.571428315257112e-09	-3.485669e+00	-3.625517e+00	-2.788812e+00
5.485713978308534e-09	-3.485669e+00	-3.625517e+00	-2.788812e+00
6.399999641359955e-09	-3.485669e+00	-3.625517e+00	-2.788812e+00
1.279999928271991e-08	-3.485669e+00	-3.625518e+00	-2.788811e+00
2.559999856543982e-08	-3.485669e+00	-3.625521e+00	-2.788808e+00
4.747226798751930e-08	-3.485669e+00	-3.625531e+00	-2.788798e+00
8.141002406898424e-08	-3.485667e+00	-3.625546e+00	-2.788785e+00
9.999999999999989e-08	-3.485667e+00	-3.625551e+00	-2.788781e+00
1.385913905200772e-07	-3.485666e+00	-3.625563e+00	-2.788770e+00
1.783642652638334e-07	-3.485662e+00	-3.625609e+00	-2.788727e+00
1.999999999999999e-07	-3.485659e+00	-3.625660e+00	-2.788679e+00
2.427685173538487e-07	-3.485648e+00	-3.625810e+00	-2.788540e+00
2.888306313527577e-07	-3.485630e+00	-3.626026e+00	-2.788342e+00
3.649197306117161e-07	-3.485595e+00	-3.626441e+00	-2.787962e+00
3.822848572945417e-07	-3.485587e+00	-3.626543e+00	-2.787868e+00
4.170151106601928e-07	-3.485569e+00	-3.626753e+00	-2.787677e+00
4.864756173914952e-07	-3.485531e+00	-3.627202e+00	-2.787266e+00
6.253966308541000e-07	-3.485446e+00	-3.628230e+00	-2.786323e+00
9.032386577793095e-07	-3.485245e+00	-3.630718e+00	-2.784035e+00
1.458922711629729e-06	-3.484819e+00	-3.636236e+00	-2.778944e+00
2.166803869896213e-06	-3.484382e+00	-3.642361e+00	-2.773256e+00
3.176440321077360e-06	-3.484030e+00	-3.648446e+00	-2.767523e+00
4.795424596830990e-06	-3.483823e+00	-3.655015e+00	-2.761161e+00
8.033393148338250e-06	-3.483944e+00	-3.664948e+00	-2.751106e+00
1.450933025135277e-05	-3.482242e+00	-3.679765e+00	-2.737991e+00
2.450933025135277e-05	-3.480242e+00	-3.701936e+00	-2.717821e+00
3.450933025135277e-05	-3.496474e+00	-3.718087e+00	-2.685439e+00
4.450933025135277e-05	-3.518471e+00	-3.716731e+00	-2.664799e+00
5.450933025135277e-05	-3.536343e+00	-3.714052e+00	-2.649609e+00
5.987741246299063e-05	-3.800357e+00	-2.726853e+00	-3.372780e+00
6.281402363711916e-05	-3.644345e+00	-2.224391e+00	-4.014715e+00
6.469000921168700e-05	-3.567463e+00	-2.203892e+00	-4.070981e+00
6.638415620998637e-05	-3.457229e+00	-2.203101e+00	-4.113422e+00
6.823317355184832e-05	-3.312429e+00	-2.204619e+00	-4.147065e+00
7.026634156688898e-05	-3.139723e+00	-2.196711e+00	-4.171750e+00
7.433267759697031e-05	-2.775375e+00	-2.148518e+00	-4.197996e+00
7.871779704029981e-05	-2.465509e+00	-2.014880e+00	-4.177264e+00
8.323557732638818e-05	-2.250371e+00	-1.818262e+00	-4.123442e+00
8.711789048470452e-05	-2.081310e+00	-1.657183e+00	-4.068648e+00
9.128924101637544e-05	-1.910842e+00	-1.493142e+00	-3.996199e+00
9.359249085522219e-05	-1.823233e+00	-1.408685e+00	-3.944120e+00
9.549284099783988e-05	-1.765822e+00	-1.353827e+00	-3.866371e+00
9.736152558820724e-05	-1.719345e+00	-1.309626e+00	-3.763747e+00
9.813273415312344e-05	-1.701911e+00	-1.293188e+00	-3.715653e+00
9.889221816652003e-05	-1.683357e+00	-1.275458e+00	-3.670849e+00
1.004111861933132e-04	-1.648717e+00	-1.242620e+00	-3.573130e+00
1.034491222468996e-04	-1.578466e+00	-1.175583e+00	-3.373395e+00
1.095249943540723e-04	-1.442488e+00	-1.045737e+00	-2.946581e+00
1.195249943540723e-04	-1.159429e+00	-7.721863e-01	-2.399603e+00
1.295249943540723e-04	-8.239727e-01	-4.470735e-01	-2.049997e+00
1.395249943540723e-04	-4.496565e-01	-2.733409e-01	-1.684520e+00
1.495249943540723e-04	-2.342649e-01	-1.977057e-01	-1.195729e+00
1.595249943540723e-04	-1.685677e-01	-1.590438e-01	-6.571438e-01
1.695249943540723e-04	-1.296229e-01	-1.270986e-01	-2.257837e-01
1.795249943540723e-04	-7.137871e-02	-7.098675e-02	-9.402670e-02
1.895249943540722e-04	-5.192423e-02	-5.191278e-02	-6.164723e-02
1.995249943540722e-04	-4.701042e-02	-4.704499e-02	-5.282036e-02
2.095249943540722e-04	-4.563046e-02	-4.567313e-02	-4.937813e-02
2.195249943540722e-04	-4.512596e-02	-4.514480e-02	-4.762925e-02
2.295249943540722e-04	-4.491377e-02	-4.493308e-02	-4.658828e-02
2.395249943540722e-04	-4.481173e-02	-4.481387e-02	-4.597613e-02
2.495249943540723e-04	-4.476643e-02	-4.477525e-02	-4.553763e-02
2.595249943540722e-04	-4.473400e-02	-4.473042e-02	-4.528625e-02
2.695249943540723e-04	-4.472256e-02	-4.472852e-02	-4.507740e-02
2.795249943540722e-04	-4.470778e-02	-4.470301e-02	-4.497572e-02
2.895249943540723e-04	-4.470634e-02	-4.471183e-02	-4.486643e-02
2.995249943540722e-04	-4.469728e-02	-4.469228e-02	-4.483145e-02
3.095249943540723e-04	-4.469919e-02	-4.470444e-02	-4.476761e-02
3.195249943540722e-04	-4.469299e-02	-4.468775e-02	-4.476342e-02
3.295249943540723e-04	-4.469633e-02	-4.470134e-02	-4.472086e-02
3.395249943540722e-04	-4.469061e-02	-4.468536e-02	-4.473110e-02
3.495249943540723e-04	-4.469442e-02	-4.469991e-02	-4.469865e-02
3.595249943540722e-04	-4.469013e-02	-4.468441e-02	-4.471568e-02
3.695249943540723e-04	-4.469395e-02	-4.469919e-02	-4.468810e-02
