time	V(out_1,N084)	V(out_2,out_1)	V(out_pos,N024)
0.000000000000000e+00	5.111883e-01	-3.255172e-01	-1.856694e-01
9.142856630514224e-10	5.111882e-01	-3.255172e-01	-1.856694e-01
1.828571326102845e-09	5.111882e-01	-3.255171e-01	-1.856694e-01
2.742856989154267e-09	5.111883e-01	-3.255172e-01	-1.856694e-01
3.657142652205690e-09	5.111883e-01	-3.255172e-01	-1.856694e-01
4.571428315257112e-09	5.111883e-01	-3.255173e-01	-1.856694e-01
5.485713978308534e-09	5.111884e-01	-3.255173e-01	-1.856694e-01
6.399999641359955e-09	5.111885e-01	-3.255174e-01	-1.856694e-01
1.279999928271991e-08	5.111887e-01	-3.255177e-01	-1.856694e-01
2.559999856543982e-08	5.111921e-01	-3.255212e-01	-1.856692e-01
4.747226798751930e-08	5.112016e-01	-3.255312e-01	-1.856687e-01
8.141002406898424e-08	5.112147e-01	-3.255458e-01	-1.856673e-01
9.999999999999989e-08	5.112193e-01	-3.255508e-01	-1.856668e-01
1.385913905200772e-07	5.112302e-01	-3.255630e-01	-1.856656e-01
1.783642652638334e-07	5.112731e-01	-3.256092e-01	-1.856625e-01
1.999999999999999e-07	5.113206e-01	-3.256602e-01	-1.856589e-01
2.427685173538487e-07	5.114596e-01	-3.258104e-01	-1.856477e-01
2.888306313527577e-07	5.116577e-01	-3.260257e-01	-1.856303e-01
3.649197306117161e-07	5.120378e-01	-3.264408e-01	-1.855953e-01
3.822848572945417e-07	5.121315e-01	-3.265431e-01	-1.855867e-01
4.170151106601928e-07	5.123229e-01	-3.267527e-01	-1.855688e-01
4.864756173914952e-07	5.127342e-01	-3.272016e-01	-1.855311e-01
6.253966308541000e-07	5.136774e-01	-3.282299e-01	-1.854458e-01
9.032386577793095e-07	5.159647e-01	-3.307178e-01	-1.852453e-01
1.458922711629729e-06	5.210562e-01	-3.362362e-01	-1.848185e-01
2.166803869896213e-06	5.267441e-01	-3.423610e-01	-1.843817e-01
3.176440321077360e-06	5.324767e-01	-3.484457e-01	-1.840296e-01
4.795424596830990e-06	5.388386e-01	-3.550146e-01	-1.838229e-01
8.033393148338250e-06	5.488935e-01	-3.649483e-01	-1.839442e-01
1.450933025135277e-05	5.620084e-01	-3.797653e-01	-1.822424e-01
2.450933025135277e-05	5.821784e-01	-4.019361e-01	-1.802428e-01
3.450933025135277e-05	6.145597e-01	-4.180875e-01	-1.964746e-01
4.450933025135277e-05	6.351995e-01	-4.167318e-01	-2.184718e-01
5.450933025135277e-05	6.503901e-01	-4.140525e-01	-2.363434e-01
5.987741246299063e-05	-7.278228e-02	5.731444e-01	-5.003579e-01
6.281402363711916e-05	-7.147171e-01	1.072441e+00	-3.475130e-01
6.469000921168700e-05	-7.709811e-01	1.085905e+00	-2.776659e-01
6.638415620998637e-05	-8.134239e-01	1.078095e+00	-1.760335e-01
6.823317355184832e-05	-8.470654e-01	1.066721e+00	-4.108810e-02
7.026634156688898e-05	-8.717518e-01	1.065172e+00	1.221595e-01
7.433267759697031e-05	-8.985918e-01	1.100475e+00	4.736180e-01
7.871779704029981e-05	-8.866425e-01	1.231044e+00	7.804146e-01
8.323557732638818e-05	-8.464949e-01	1.430232e+00	9.981236e-01
8.711789048470452e-05	-8.030338e-01	1.592087e+00	1.167960e+00
9.128924101637544e-05	-7.412584e-01	1.755941e+00	1.338241e+00
9.359249085522219e-05	-6.939011e-01	1.839827e+00	1.425279e+00
9.549284099783988e-05	-6.193824e-01	1.893033e+00	1.481038e+00
9.736152558820724e-05	-5.190618e-01	1.935062e+00	1.525343e+00
9.813273415312344e-05	-4.719064e-01	1.950553e+00	1.541830e+00
9.889221816652003e-05	-4.278266e-01	1.967570e+00	1.559670e+00
1.004111861933132e-04	-3.316011e-01	1.998904e+00	1.592807e+00
1.034491222468996e-04	-1.341305e-01	2.063687e+00	1.660804e+00
1.095249943540723e-04	2.895553e-01	2.190394e+00	1.793643e+00
1.195249943540723e-04	8.382344e-01	2.465657e+00	2.078414e+00
1.295249943540723e-04	1.191510e+00	2.794428e+00	2.417530e+00
1.395249943540723e-04	1.560119e+00	2.971304e+00	2.794989e+00
1.495249943540723e-04	2.055368e+00	3.053386e+00	3.016827e+00
1.595249943540723e-04	2.599276e+00	3.097382e+00	3.087859e+00
1.695249943540723e-04	3.037152e+00	3.135832e+00	3.133307e+00
1.795249943540723e-04	3.183929e+00	3.206975e+00	3.206582e+00
1.895249943540722e-04	3.221478e+00	3.231207e+00	3.231196e+00
1.995249943540722e-04	3.231503e+00	3.237284e+00	3.237318e+00
2.095249943540722e-04	3.235245e+00	3.238944e+00	3.238987e+00
2.195249943540722e-04	3.237083e+00	3.239573e+00	3.239592e+00
2.295249943540722e-04	3.238176e+00	3.239826e+00	3.239845e+00
2.395249943540722e-04	3.238803e+00	3.239971e+00	3.239973e+00
2.495249943540723e-04	3.239260e+00	3.240016e+00	3.240026e+00
2.595249943540722e-04	3.239512e+00	3.240073e+00	3.240069e+00
2.695249943540723e-04	3.239731e+00	3.240075e+00	3.240081e+00
2.795249943540722e-04	3.239830e+00	3.240108e+00	3.240102e+00
2.895249943540723e-04	3.239947e+00	3.240096e+00	3.240102e+00
2.995249943540722e-04	3.239977e+00	3.240122e+00	3.240116e+00
3.095249943540723e-04	3.240048e+00	3.240106e+00	3.240111e+00
3.195249943540722e-04	3.240046e+00	3.240128e+00	3.240122e+00
3.295249943540723e-04	3.240095e+00	3.240109e+00	3.240115e+00
3.395249943540722e-04	3.240079e+00	3.240131e+00	3.240125e+00
3.495249943540723e-04	3.240118e+00	3.240111e+00	3.240118e+00
3.595249943540722e-04	3.240095e+00	3.240132e+00	3.240126e+00
3.695249943540723e-04	3.240129e+00	3.240113e+00	3.240119e+00
3.795249943540722e-04	3.240103e+00	3.240133e+00	3.240127e+00
3.895249943540723e-04	3.240134e+00	3.240113e+00	3.240119e+00
3.995249943540722e-04	3.240106e+00	3.240133e+00	3.240127e+00
4.095249943540723e-04	3.240137e+00	3.240113e+00	3.240119e+00
4.195249943540722e-04	3.240108e+00	3.240133e+00	3.240127e+00
4.295249943540723e-04	3.240138e+00	3.240113e+00	3.240119e+00
4.395249943540722e-04	3.240109e+00	3.240133e+00	3.240127e+00
4.495249943540723e-04	3.240138e+00	3.240113e+00	3.240119e+00
4.595249943540722e-04	3.240109e+00	3.240133e+00	3.240127e+00
4.695249943540723e-04	3.240138e+00	3.240113e+00	3.240119e+00
4.795249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
4.895249943540723e-04	3.240138e+00	3.240113e+00	3.240119e+00
4.995249943540723e-04	3.240109e+00	3.240133e+00	3.240127e+00
5.095249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
5.195249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
5.295249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
5.395249943540723e-04	3.240110e+00	3.240133e+00	3.240127e+00
5.495249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
5.595249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
5.695249943540722e-04	3.240138e+00	3.240114e+00	3.240119e+00
5.795249943540723e-04	3.240110e+00	3.240133e+00	3.240127e+00
5.895249943540722e-04	3.240138e+00	3.240114e+00	3.240119e+00
5.995249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
6.095249943540722e-04	3.240138e+00	3.240114e+00	3.240119e+00
6.195249943540723e-04	3.240110e+00	3.240133e+00	3.240128e+00
6.295249943540722e-04	3.240138e+00	3.240114e+00	3.240119e+00
6.395249943540722e-04	3.240110e+00	3.240133e+00	3.240128e+00
6.495249943540722e-04	3.240138e+00	3.240114e+00	3.240119e+00
6.595249943540723e-04	3.240110e+00	3.240133e+00	3.240128e+00
6.695249943540722e-04	3.240138e+00	3.240114e+00	3.240119e+00
6.795249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
6.895249943540722e-04	3.240138e+00	3.240114e+00	3.240119e+00
6.995249943540723e-04	3.240110e+00	3.240133e+00	3.240127e+00
7.095249943540722e-04	3.240138e+00	3.240114e+00	3.240119e+00
7.195249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
7.295249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
7.395249943540723e-04	3.240110e+00	3.240133e+00	3.240127e+00
7.495249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
7.595249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
7.695249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
7.795249943540723e-04	3.240110e+00	3.240133e+00	3.240127e+00
7.895249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
7.995249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
8.095249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
8.195249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
8.295249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
8.395249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
8.495249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
8.595249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
8.695249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
8.795249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
8.895249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
8.995249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
9.095249943540722e-04	3.240138e+00	3.240113e+00	3.240119e+00
9.195249943540722e-04	3.240110e+00	3.240133e+00	3.240127e+00
9.295249943540722e-04	3.240138e+00	3.240114e+00	3.240119e+00
9.395249943540722e-04	3.240111e+00	3.240133e+00	3.240127e+00
9.495249943540722e-04	3.240138e+00	3.240114e+00	3.240119e+00
9.595249943540722e-04	3.240111e+00	3.240133e+00	3.240127e+00
9.695249943540722e-04	3.240138e+00	3.240114e+00	3.240119e+00
9.795249943540722e-04	3.240111e+00	3.240133e+00	3.240127e+00
9.895249943540723e-04	3.240138e+00	3.240114e+00	3.240119e+00
9.995249943540723e-04	3.240111e+00	3.240133e+00	3.240127e+00
1.009524994354072e-03	3.240138e+00	3.240114e+00	3.240119e+00
1.019524994354072e-03	3.240111e+00	3.240133e+00	3.240127e+00
1.029524994354072e-03	3.240138e+00	3.240114e+00	3.240119e+00
1.039524994354072e-03	3.240111e+00	3.240133e+00	3.240127e+00
1.049524994354072e-03	3.240138e+00	3.240114e+00	3.240119e+00
1.059524994354072e-03	3.240111e+00	3.240133e+00	3.240127e+00
1.069524994354072e-03	3.240138e+00	3.240114e+00	3.240119e+00
1.079524994354072e-03	3.240111e+00	3.240133e+00	3.240127e+00
1.089524994354072e-03	3.240138e+00	3.240114e+00	3.240120e+00
1.099524994354072e-03	3.240111e+00	3.240133e+00	3.240127e+00
1.109524994354072e-03	3.240138e+00	3.240114e+00	3.240120e+00
1.119524994354072e-03	3.240111e+00	3.240133e+00	3.240127e+00
1.129524994354072e-03	3.240138e+00	3.240114e+00	3.240120e+00
1.139524994354072e-03	3.240111e+00	3.240133e+00	3.240127e+00
1.149524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.159524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.169524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.179524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.189524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.199524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.209524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.219524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.229524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.239524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.249524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.259524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.269524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.279524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.289524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.299524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.309524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.319524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.329524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.339524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.349524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.359524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.369524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.379524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.389524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.399524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.409524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.419524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.429524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.439524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.449524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.459524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.469524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.479524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.489524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.499524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.509524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.519524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.529524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.539524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.549524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.559524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.569524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.579524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.589524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.599524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.609524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.619524994354072e-03	3.240111e+00	3.240132e+00	3.240126e+00
1.629524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.639524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.649524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.659524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.669524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.679524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.689524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.699524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.709524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.719524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.729524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.739524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.749524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.759524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.769524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.779524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.789524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.799524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.809524994354072e-03	3.240137e+00	3.240114e+00	3.240119e+00
1.819524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.829524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.839524994354072e-03	3.240111e+00	3.240132e+00	3.240127e+00
1.849524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.859524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
1.869524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.879524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
1.889524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.899524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
1.909524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.919524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
1.929524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.939524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
1.949524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.959524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
1.969524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.979524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
1.989524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
1.999524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
2.009524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
2.019524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
2.029524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
2.039524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
2.049524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
2.059524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
2.069524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
2.079524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
2.089524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
2.099524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
2.109524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
2.119524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
2.129524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
2.139524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
2.149524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
2.159524994354072e-03	3.240112e+00	3.240132e+00	3.240127e+00
2.169524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
2.179524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.189524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
2.199524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.209524994354072e-03	3.240137e+00	3.240114e+00	3.240120e+00
2.219524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.229524994354072e-03	3.240137e+00	3.240115e+00	3.240120e+00
2.239524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.249524994354072e-03	3.240137e+00	3.240115e+00	3.240120e+00
2.259524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.269524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.279524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.289524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.299524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.309524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.319524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.329524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.339524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.349524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.359524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.369524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.379524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.389524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.399524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.409524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.419524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.429524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.439524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.449524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.459524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.469524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.479524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.489524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.499524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.509524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.519524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.529524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.539524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.549524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.559524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.569524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.579524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
2.589524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
2.599524994354072e-03	3.240112e+00	3.240132e+00	3.240126e+00
