time	V(N018,N016)	V(N050,N048)	V(N082,N074)
0.000000000000000e+00	6.271852e-01	4.460097e-01	2.141994e-01
9.142856630514224e-10	6.271852e-01	4.460097e-01	2.141994e-01
1.828571326102845e-09	6.271852e-01	4.460097e-01	2.141994e-01
2.742856989154267e-09	6.271852e-01	4.460097e-01	2.141994e-01
3.657142652205690e-09	6.271852e-01	4.460097e-01	2.141994e-01
4.571428315257112e-09	6.271852e-01	4.460097e-01	2.141994e-01
5.485713978308534e-09	6.271852e-01	4.460097e-01	2.141994e-01
6.399999641359955e-09	6.271852e-01	4.460097e-01	2.141994e-01
1.279999928271991e-08	6.271845e-01	4.460091e-01	2.141992e-01
2.559999856543982e-08	6.271808e-01	4.460057e-01	2.141993e-01
4.747226798751930e-08	6.271732e-01	4.459994e-01	2.142010e-01
8.141002406898424e-08	6.271606e-01	4.459886e-01	2.142011e-01
9.999999999999989e-08	6.271533e-01	4.459820e-01	2.141991e-01
1.385913905200772e-07	6.271375e-01	4.459676e-01	2.141960e-01
1.783642652638334e-07	6.271176e-01	4.459532e-01	2.142129e-01
1.999999999999999e-07	6.271044e-01	4.459461e-01	2.142370e-01
2.427685173538487e-07	6.270713e-01	4.459313e-01	2.143092e-01
2.888306313527577e-07	6.270253e-01	4.459119e-01	2.144122e-01
3.649197306117161e-07	6.269282e-01	4.458660e-01	2.146034e-01
3.822848572945417e-07	6.269018e-01	4.458523e-01	2.146486e-01
4.170151106601928e-07	6.268464e-01	4.458228e-01	2.147401e-01
4.864756173914952e-07	6.267184e-01	4.457503e-01	2.149296e-01
6.253966308541000e-07	6.263898e-01	4.455494e-01	2.153372e-01
9.032386577793095e-07	6.254939e-01	4.449660e-01	2.162483e-01
1.458922711629729e-06	6.233983e-01	4.435755e-01	2.181474e-01
2.166803869896213e-06	6.211988e-01	4.421783e-01	2.202116e-01
3.176440321077360e-06	6.194549e-01	4.412615e-01	2.222613e-01
4.795424596830990e-06	6.182964e-01	4.410319e-01	2.243548e-01
8.033393148338250e-06	6.173625e-01	4.415308e-01	2.271540e-01
1.450933025135277e-05	6.257136e-01	4.640428e-01	2.722972e-01
2.450933025135277e-05	8.931590e-01	8.105449e-01	5.941878e-01
3.450933025135277e-05	1.412969e+00	1.420934e+00	1.045947e+00
4.450933025135277e-05	1.921881e+00	1.991587e+00	1.506832e+00
5.450933025135277e-05	2.381270e+00	2.502383e+00	1.949224e+00
5.987741246299063e-05	2.640923e+00	2.655980e+00	2.212933e+00
6.281402363711916e-05	2.751299e+00	2.751426e+00	2.358436e+00
6.469000921168700e-05	2.831918e+00	2.832128e+00	2.426399e+00
6.638415620998637e-05	2.898425e+00	2.898393e+00	2.488344e+00
6.823317355184832e-05	2.958320e+00	2.958407e+00	2.553842e+00
7.026634156688898e-05	3.007446e+00	3.007373e+00	2.623127e+00
7.433267759697031e-05	3.065903e+00	3.065978e+00	2.694383e+00
7.871779704029981e-05	3.078965e+00	3.078887e+00	2.824298e+00
8.323557732638818e-05	3.068066e+00	3.068135e+00	2.925262e+00
8.711789048470452e-05	3.064870e+00	3.064790e+00	2.988750e+00
9.128924101637544e-05	3.065562e+00	3.065630e+00	3.039553e+00
9.359249085522219e-05	3.068095e+00	3.068014e+00	3.060713e+00
9.549284099783988e-05	3.074937e+00	3.075004e+00	3.074177e+00
9.736152558820724e-05	3.084054e+00	3.083973e+00	3.084046e+00
9.813273415312344e-05	3.087820e+00	3.087885e+00	3.087627e+00
9.889221816652003e-05	3.090838e+00	3.090759e+00	3.090816e+00
1.004111861933132e-04	3.096784e+00	3.096848e+00	3.096633e+00
1.034491222468996e-04	3.105872e+00	3.105794e+00	3.105865e+00
1.095249943540723e-04	3.118007e+00	3.118071e+00	3.117903e+00
1.195249943540723e-04	3.111475e+00	3.111398e+00	3.111552e+00
1.295249943540723e-04	3.096888e+00	3.096951e+00	3.096805e+00
1.395249943540723e-04	3.084269e+00	3.135059e+00	3.084326e+00
1.495249943540723e-04	3.125554e+00	3.179082e+00	3.056900e+00
1.595249943540723e-04	3.184725e+00	3.209694e+00	3.033319e+00
1.695249943540723e-04	3.217064e+00	3.227092e+00	3.039208e+00
1.795249943540723e-04	3.230355e+00	3.233462e+00	3.097464e+00
1.895249943540722e-04	3.252439e+00	3.252719e+00	3.154678e+00
1.995249943540722e-04	3.266969e+00	3.266331e+00	3.195723e+00
2.095249943540722e-04	3.273701e+00	3.273231e+00	3.223196e+00
2.195249943540722e-04	3.276780e+00	3.276350e+00	3.241250e+00
2.295249943540722e-04	3.277891e+00	3.277759e+00	3.253379e+00
2.395249943540722e-04	3.278533e+00	3.278354e+00	3.261423e+00
2.495249943540723e-04	3.278634e+00	3.278652e+00	3.266980e+00
2.595249943540722e-04	3.278850e+00	3.278754e+00	3.270654e+00
2.695249943540723e-04	3.278773e+00	3.278835e+00	3.273279e+00
2.795249943540722e-04	3.278913e+00	3.278840e+00	3.274968e+00
2.895249943540723e-04	3.278804e+00	3.278877e+00	3.276242e+00
2.995249943540722e-04	3.278929e+00	3.278861e+00	3.277007e+00
3.095249943540723e-04	3.278813e+00	3.278888e+00	3.277647e+00
3.195249943540722e-04	3.278934e+00	3.278868e+00	3.277976e+00
3.295249943540723e-04	3.278817e+00	3.278891e+00	3.278315e+00
3.395249943540722e-04	3.278936e+00	3.278870e+00	3.278437e+00
3.495249943540723e-04	3.278818e+00	3.278893e+00	3.278634e+00
3.595249943540722e-04	3.278936e+00	3.278871e+00	3.278657e+00
3.695249943540723e-04	3.278820e+00	3.278894e+00	3.278786e+00
3.795249943540722e-04	3.278937e+00	3.278872e+00	3.278762e+00
3.895249943540723e-04	3.278820e+00	3.278894e+00	3.278859e+00
3.995249943540722e-04	3.278937e+00	3.278872e+00	3.278813e+00
4.095249943540723e-04	3.278820e+00	3.278894e+00	3.278893e+00
4.195249943540722e-04	3.278937e+00	3.278872e+00	3.278837e+00
4.295249943540723e-04	3.278821e+00	3.278894e+00	3.278910e+00
4.395249943540722e-04	3.278937e+00	3.278873e+00	3.278848e+00
4.495249943540723e-04	3.278821e+00	3.278895e+00	3.278918e+00
4.595249943540722e-04	3.278937e+00	3.278873e+00	3.278854e+00
4.695249943540723e-04	3.278821e+00	3.278895e+00	3.278922e+00
4.795249943540722e-04	3.278937e+00	3.278873e+00	3.278856e+00
4.895249943540723e-04	3.278821e+00	3.278895e+00	3.278924e+00
4.995249943540723e-04	3.278937e+00	3.278873e+00	3.278858e+00
5.095249943540722e-04	3.278821e+00	3.278895e+00	3.278924e+00
5.195249943540722e-04	3.278937e+00	3.278873e+00	3.278858e+00
5.295249943540722e-04	3.278822e+00	3.278895e+00	3.278925e+00
5.395249943540723e-04	3.278937e+00	3.278873e+00	3.278859e+00
