time	V(N019,out_pos)	V(N051,out_2)	V(N069,out_1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.142856630514224e-10	0.000000e+00	0.000000e+00	0.000000e+00
1.828571326102845e-09	0.000000e+00	0.000000e+00	0.000000e+00
2.742856989154267e-09	0.000000e+00	0.000000e+00	0.000000e+00
3.657142652205690e-09	0.000000e+00	0.000000e+00	0.000000e+00
4.571428315257112e-09	0.000000e+00	0.000000e+00	0.000000e+00
5.485713978308534e-09	0.000000e+00	0.000000e+00	0.000000e+00
6.399999641359955e-09	0.000000e+00	0.000000e+00	0.000000e+00
1.279999928271991e-08	0.000000e+00	2.384186e-07	0.000000e+00
2.559999856543982e-08	0.000000e+00	2.384186e-07	-2.384186e-07
4.747226798751930e-08	0.000000e+00	7.152557e-07	-7.152557e-07
8.141002406898424e-08	0.000000e+00	1.907349e-06	-1.430511e-06
9.999999999999989e-08	0.000000e+00	1.907349e-06	-1.668930e-06
1.385913905200772e-07	2.384186e-07	2.861023e-06	-2.145767e-06
1.783642652638334e-07	4.768372e-07	5.483627e-06	-4.529953e-06
1.999999999999999e-07	4.768372e-07	8.583069e-06	-6.675720e-06
2.427685173538487e-07	9.536743e-07	1.788139e-05	-1.406670e-05
2.888306313527577e-07	2.145767e-06	3.123283e-05	-2.360344e-05
3.649197306117161e-07	5.006790e-06	5.602837e-05	-4.005432e-05
3.822848572945417e-07	5.722046e-06	6.175041e-05	-4.386902e-05
4.170151106601928e-07	7.390976e-06	7.367134e-05	-5.125999e-05
4.864756173914952e-07	1.072884e-05	9.727478e-05	-6.604195e-05
6.253966308541000e-07	1.788139e-05	1.471043e-04	-9.679794e-05
9.032386577793095e-07	3.290176e-05	2.472401e-04	-1.571178e-04
1.458922711629729e-06	5.745888e-05	3.883839e-04	-2.379417e-04
2.166803869896213e-06	6.651878e-05	4.134178e-04	-2.479553e-04
3.176440321077360e-06	5.173683e-05	3.077984e-04	-1.897812e-04
4.795424596830990e-06	2.765656e-05	1.761913e-04	-1.287460e-04
8.033393148338250e-06	1.788139e-05	1.182556e-04	-1.084805e-04
1.450933025135277e-05	8.106232e-06	1.044273e-04	-3.814697e-05
2.450933025135277e-05	4.458427e-05	1.339912e-04	-6.246567e-05
3.450933025135277e-05	1.099110e-04	2.598763e-05	-1.635551e-04
4.450933025135277e-05	7.963181e-05	-3.290176e-05	-1.692772e-05
5.450933025135277e-05	7.247925e-05	4.529953e-06	-8.893013e-05
5.987741246299063e-05	2.024174e-03	-1.297092e-02	8.286953e-03
6.281402363711916e-05	-5.001307e-03	-5.444527e-03	8.280754e-03
6.469000921168700e-05	-1.188040e-03	5.464554e-04	-2.095699e-04
6.638415620998637e-05	-2.686262e-03	1.339912e-04	1.104593e-03
6.823317355184832e-05	-3.183365e-03	2.889633e-04	6.170273e-04
7.026634156688898e-05	-3.461838e-03	-3.099442e-05	4.243851e-04
7.433267759697031e-05	-4.210949e-03	-8.573532e-04	-1.604557e-04
7.871779704029981e-05	-2.530575e-03	-1.504898e-03	-1.354218e-04
8.323557732638818e-05	-2.028465e-03	-2.031803e-03	-3.831387e-04
8.711789048470452e-05	-2.008915e-03	-1.649380e-03	-4.649162e-04
9.128924101637544e-05	-1.795292e-03	-1.641750e-03	-5.710125e-04
9.359249085522219e-05	-1.715660e-03	-1.528740e-03	-8.594990e-04
9.549284099783988e-05	-1.273632e-03	-1.094818e-03	-1.581192e-03
9.736152558820724e-05	-1.047611e-03	-9.398460e-04	-2.140522e-03
9.813273415312344e-05	-9.932518e-04	-8.468628e-04	-2.259493e-03
9.889221816652003e-05	-1.044750e-03	-9.355545e-04	-2.231359e-03
1.004111861933132e-04	-9.918213e-04	-8.568764e-04	-2.418756e-03
1.034491222468996e-04	-1.026154e-03	-9.260178e-04	-2.498865e-03
1.095249943540723e-04	-9.756088e-04	-8.502007e-04	-2.757311e-03
